,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,index,batch_size,input_steps,output_steps,n_hidden,n_filters,kernel_size,dropout,reg_strength,mse,r2,mae
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,4096.0,24.0,12.0,32.0,32.0,1.0,0.4,0.002,279886.14177507645,0.1336853670026979,387.2687404005571
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,0.0,4096.0,48.0,12.0,32.0,32.0,1.0,0.4,0.002,286513.8185649475,0.108484536888935,384.34968572615617
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,1.0,4096.0,64.0,12.0,32.0,32.0,1.0,0.4,0.002,280369.4807788969,0.1127687124956709,392.80688423036605
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,2.0,4096.0,128.0,12.0,32.0,32.0,1.0,0.4,0.002,276121.9810542776,0.1108262175286064,382.4483791473201
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,3.0,4096.0,256.0,12.0,32.0,32.0,1.0,0.4,0.002,291267.6575276715,0.0563940874295713,389.7480450066443
5,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,4.0,4096.0,48.0,12.0,32.0,32.0,1.0,0.4,0.004,280803.7244323883,0.0313606619718831,392.8173767806945
6,6.0,6.0,6.0,6.0,6.0,,,,,,,,5.0,4096.0,64.0,12.0,32.0,32.0,1.0,0.4,0.004,278040.2352449811,0.1762949527523188,383.2337243065114
7,7.0,7.0,7.0,7.0,,,,,,,,,6.0,4096.0,128.0,12.0,32.0,32.0,1.0,0.4,0.004,281231.1646156209,9.737067029460164e-05,397.2796144292472
8,8.0,8.0,8.0,,,,,,,,,,7.0,4096.0,256.0,12.0,32.0,32.0,1.0,0.4,0.004,287541.4024913938,0.060678628431211,391.473326843596
9,9.0,9.0,,,,,,,,,,,8.0,4096.0,48.0,12.0,32.0,32.0,1.0,0.5,0.002,280697.3110587973,0.1589390824112026,392.09033027057535
10,10.0,,,,,,,,,,,,9.0,4096.0,64.0,12.0,32.0,32.0,1.0,0.5,0.002,281947.63406048017,0.1476794626648376,391.3926060834205
11,,,,,,,,,,,,,10.0,4096.0,128.0,12.0,32.0,32.0,1.0,0.5,0.002,288356.31269191834,0.17153601711874655,376.75950505239166
