,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,index,batch_size,input_steps,output_steps,n_hidden,n_filters,kernel_size,dropout,reg_strength,mse,r2,mae
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,4096.0,24.0,12.0,32.0,32.0,1.0,0.4,0.002,290469.2062058689,0.0751959821219881,397.4484987937903
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,0.0,4096.0,48.0,12.0,32.0,32.0,1.0,0.4,0.002,293142.8317336238,-0.018986956436193,391.4996005418172
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,1.0,4096.0,64.0,12.0,32.0,32.0,1.0,0.4,0.002,275546.14848261955,0.1398131466050264,381.3021755429199
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,2.0,4096.0,128.0,12.0,32.0,32.0,1.0,0.4,0.002,288945.38984014053,0.0555137559224811,383.0931970695588
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,3.0,4096.0,256.0,12.0,32.0,32.0,1.0,0.4,0.002,288398.88827044755,0.0140120953833578,383.8109260722644
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,4.0,4096.0,48.0,12.0,32.0,32.0,1.0,0.4,0.004,277853.1057266976,0.0680846855885344,392.9649854838988
6,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,,5.0,4096.0,64.0,12.0,32.0,32.0,1.0,0.4,0.004,281121.5555338825,0.0525004316066367,382.6526873405231
7,7.0,7.0,7.0,7.0,7.0,,,,,,,,,6.0,4096.0,128.0,12.0,32.0,32.0,1.0,0.4,0.004,277418.2854808911,0.0379182785455404,385.1629870543508
8,8.0,8.0,8.0,8.0,,,,,,,,,,7.0,4096.0,256.0,12.0,32.0,32.0,1.0,0.4,0.004,285523.4389833859,0.0193679668970419,394.2397584215289
9,9.0,9.0,9.0,,,,,,,,,,,8.0,4096.0,48.0,12.0,32.0,32.0,1.0,0.5,0.002,283323.81387118984,0.0052082227582924,394.0099411733129
10,10.0,10.0,,,,,,,,,,,,9.0,4096.0,64.0,12.0,32.0,32.0,1.0,0.5,0.002,276065.5797414843,0.0956894653624501,383.8354843190998
11,11.0,,,,,,,,,,,,,10.0,4096.0,128.0,12.0,32.0,32.0,1.0,0.5,0.002,277374.3496057893,0.1952094226331309,381.8310244178888
12,,,,,,,,,,,,,,11.0,4096.0,256.0,12.0,32.0,32.0,1.0,0.5,0.002,279140.5503092849,0.12422639218706422,381.4495381609833
