------WebKitFormBoundaryV1ocQnBBuNq8eokA
Content-Disposition: form-data; name="file"; filename="example_raw_data - Copy.csv"
Content-Type: text/csv

;Datum (Anlage);Zeit (Anlage);Ereignis;Error Number;Wind Speed (avg);Wind Speed (max);Wind Speed (min);Rotor Speed [rpm] (avg);Rotor Speed [rpm] (max);Rotor Speed [rpm] (min);Active Power (avg);Active Power (max);Active Power (min);Nacelle Position (avg);Wind Direction (avg);Generator Speed [rpm] (avg);Feature 0;Feature 1;Feature 2;Feature 3;Feature 4;Feature 5;Feature 6;Feature 7;Feature 8;Feature 9;Feature 10;Feature 11;Reactive Power (avg);Feature 13;Feature 14;Feature 15;Feature 16;Feature 17;Feature 18;Feature 19;Feature 20;Feature 21;Feature 22;Feature 23;Feature 24;Feature 25;Feature 26;Feature 27;Feature 28;Feature 29;Feature 30;Feature 31;Feature 32;Feature 33;Feature 34;Feature 35;Feature 36;Feature 37;Feature 38;Feature 39;Feature 40;Feature 41;Feature 42;Feature 43;Feature 44;Feature 45;Feature 46;Feature 47;Feature 48;Feature 49;Feature 50;Feature 51;Feature 52;Feature 53;Feature 54;Feature 55;Feature 56;Feature 57;Feature 58;Feature 59;Feature 60;Feature 61;Feature 62;Feature 63;Feature 64;Feature 65;Feature 66;Feature 67;Feature 68;Feature 69;Feature 70;Feature 71;Feature 72;Feature 73;Feature 74;Feature 75;Feature 76;Feature 77;Feature 78;Feature 79;Feature 80;Feature 81;Feature 82
0;01.01.18;00:00:00;;;10,47;;;12,00;;;2529.0;;;312.0;;;;8,34;87,75;88,35;80,23;40,45;43,64;22,27;;;;;-658,45;;;;210,12;207,36;215,53;;;;;;;;;;49,98;;;;;;;;;;;;;11,61;;;;106,824;98,727;35,545;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;01.01.18;00:10:00;;;11,20;;;11,99;;;2530.0;;;310.0;;;;8,21;87,73;88,34;80,25;40,44;43,62;22,27;;;;;-660,29;;;;209,02;206,25;214,50;;;;;;;;;;49,98;;;;;;;;;;;;;12,27;;;;107,010;98,892;35,555;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;01.01.18;00:20:00;;;11,45;;;11,99;;;2530.0;;;307.0;;;;7,98;87,78;88,40;80,22;40,42;43,59;22,11;;;;;-658,19;;;;208,57;205,79;214,09;;;;;;;;;;50,00;;;;;;;;;;;;;12,63;;;;107,180;99,044;35,564;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;01.01.18;00:30:00;;;10,99;;;11,98;;;2530.0;;;308.0;;;;7,98;87,93;88,54;80,23;40,45;43,59;22,19;;;;;-656,87;;;;206,81;203,98;212,44;;;;;;;;;;49,99;;;;;;;;;;;;;12,10;;;;107,342;99,195;35,551;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;01.01.18;00:40:00;;;9,81;;;12,03;;;2474.0;;;311.0;;;;7,95;87,78;88,38;80,23;40,43;43,57;22,16;;;;;-653,03;;;;210,74;208,16;216,45;;;;;;;;;;50,00;;;;;;;;;;;;;10,67;;;;107,525;99,361;35,620;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;01.01.18;00:50:00;;;8,90;;;11,99;;;2168.0;;;305.0;;;;7,84;85,18;85,73;80,02;40,31;43,44;22,15;;;;;-619,52;;;;188,64;185,90;193,46;;;;;;;;;;49,99;;;;;;;;;;;;;9,72;;;;107,520;99,339;35,649;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;01.01.18;01:00:00;;;8,98;;;11,99;;;2181.0;;;303.0;;;;7,69;81,75;82,28;79,69;40,15;43,17;21,96;;;;;-637,60;;;;190,29;187,52;195,09;;;;;;;;;;49,97;;;;;;;;;;;;;9,74;;;;107,093;98,871;35,615;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;01.01.18;01:10:00;;;9,44;;;12,02;;;2378.0;;;301.0;;;;7,68;81,55;82,11;79,56;40,00;42,86;21,74;;;;;-637,42;;;;205,53;202,92;211,05;;;;;;;;;;50,00;;;;;;;;;;;;;10,24;;;;106,502;98,261;35,554;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;01.01.18;01:20:00;;;9,09;;;12,01;;;2258.0;;;302.0;;;;7,72;81,14;81,67;79,48;39,86;42,62;21,69;;;;;-623,79;;;;195,82;193,24;201,04;;;;;;;;;;50,01;;;;;;;;;;;;;9,94;;;;106,020;97,786;35,538;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;01.01.18;01:30:00;;;9,28;;;12,02;;;2365.0;;;305.0;;;;7,68;80,69;81,23;79,38;39,75;42,38;21,56;;;;;-642,85;;;;204,31;201,83;210,06;;;;;;;;;;50,00;;;;;;;;;;;;;10,21;;;;105,550;97,309;35,505;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;01.01.18;01:40:00;;;9,21;;;12,05;;;2302.0;;;309.0;;;;7,77;80,78;81,31;79,33;39,56;42,18;21,50;;;;;-626,36;;;;203,54;201,17;209,21;;;;;;;;;;50,02;;;;;;;;;;;;;10,15;;;;105,139;96,921;35,580;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;01.01.18;01:50:00;;;8,95;;;12,03;;;2228.0;;;315.0;;;;7,94;79,31;79,82;79,20;39,43;42,01;21,45;;;;;-601,84;;;;197,35;195,01;202,69;;;;;;;;;;50,01;;;;;;;;;;;;;9,88;;;;104,675;96,460;35,607;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;01.01.18;02:00:00;;;9,61;;;12,03;;;2316.0;;;323.0;;;;8,16;78,86;79,39;79,10;39,34;41,83;21,42;;;;;-603,61;;;;203,43;200,92;208,51;;;;;;;;;;49,99;;;;;;;;;;;;;10,42;;;;104,168;95,955;35,593;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;01.01.18;02:10:00;;;10,03;;;12,02;;;2436.0;;;335.0;;;;8,35;79,92;80,47;79,10;39,27;41,69;21,51;;;;;-637,61;;;;206,51;203,88;212,09;;;;;;;;;;50,01;;;;;;;;;;;;;11,26;;;;103,747;95,548;35,615;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;01.01.18;02:20:00;;;9,77;;;11,99;;;2290.0;;;337.0;;;;8,45;80,67;81,21;79,15;39,22;41,69;21,60;;;;;-645,61;;;;196,78;194,11;201,95;;;;;;;;;;50,00;;;;;;;;;;;;;10,94;;;;103,502;95,336;35,719;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;01.01.18;02:30:00;;;9,29;;;12,01;;;2161.0;;;333.0;;;;8,29;78,56;79,06;78,99;39,23;41,68;21,58;;;;;-634,04;;;;191,11;188,60;196,03;;;;;;;;;;50,00;;;;;;;;;;;;;10,16;;;;103,209;95,048;35,684;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;01.01.18;02:40:00;;;10,71;;;12,02;;;2501.0;;;337.0;;;;8,08;80,52;81,09;79,11;39,30;41,67;21,55;;;;;-642,70;;;;211,44;209,10;217,52;;;;;;;;;;50,02;;;;;;;;;;;;;11,91;;;;102,899;94,734;35,700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
